i want to leave you with one last thought .	最後我想留給各位一個想法 。
we really struggle to do this .	我們真的很掙扎要做這件事 。
now that can still be a lot of money .	那仍然可以賺很多錢 。
it can't even play chess .	它甚至不能玩西洋棋 。
and then he told her , get up .	然後他告訴她 , 起床 。
we can bring about change in the society . "	我們可以在社會中帶來改變 。 」
let them take long lunches .	讓他們吃很長的午餐 。
i want you to wait for just one second .	我希望你們等一下 。
i mean he had laid it all out .	我的意思是 , 他已經把一切都放出來了 。
but there's a catch here .	但這裡有個捕捉 。
he's also a eugenist .	他也是優生主義者 。
we don't tell them to do anything .	我們不告訴他們做任何事 。
one is face recognition .	一個是臉孔辨識 。
these are archival tags .	這些是阿基瓦標籤 。
in many ways , it was worse .	在很多方面 , 情況更糟糕 。
they're not rich at all .	他們根本不富有 。
and then we've done a third thing .	然後我們做了第三件事 。
i mean , you've changed the future .	我的意思是 , 你改變了未來 。
so i obviously declined to invest .	所以 , 我顯然下降了投資 。
and i was there with my arms open .	我和我的手臂打開了 。
let's think about data for a bit .	咱們來想一下數據 。
why phosphorus in particular ?	為什麼特別是磷 ?
it was only because of our passports .	只因為我們的護照 。
it's called light pollution .	它叫做光污染 。
so we can see how the process works .	我們可以看到這個過程是如何運作的 。
my job depends upon it .	我的工作取決於它 。
they lose the strategy .	他們失去了策略 。
he'll be alone for a while .	他會孤單一陣子 。
the phone rang and it was my doctor .	電話響了 , 那是我的醫生 。
so this is really exciting to me .	這對我來說非常令人興奮 。
my parents are both salespeople .	我的父母都是銷售員 。
and i know that it's not easy .	我知道這並不容易 。
they got to work on what they could do .	他們必須去做他們能做的事 。
the idea is very , very simple .	這個想法非常簡單 。
they breathe easier .	他們更容易呼吸 。
let me tell you about mahabuba .	讓我跟各位談談馬哈布巴 。
public space . this is a good public space .	公共空間 。 這是一個好公共空間 。
remember my buddy , art ?	還記得我的夥伴 , 藝術嗎 ?
the other boy was fernando .	另一個男孩是費南多 。
girls are trained to please .	女孩們受過訓練 。
let's do this and do it now .	現在我們來做吧 , 做吧 。
to what extent are these people right ?	這些人是對的 ?
what would they do under the same conditions ?	在同樣的情況下 , 他們會做什麼 ?
i remember so vividly that day .	那天我非常清楚地記得 。
these are not dying peoples .	這些不是死亡人 。
and there's no adaption .	沒有適應力 。
this guy thought in the same way i did .	這傢伙用我的方式思考 。
